Channel5@HD "Channel 5 HD"
Channel8@HD "Channel 8 HD"
ChannelNewsAsia@HD "Channel News Asia HD"
ChannelU@HD "Channel U HD"
Citra Entertainment@HD "Citra Entertainment"
HubPremier1.sg@HD "SG - Hub Premier 1"
HubPremier10.sg@HD "SG - Hub Premier 10"
HubPremier11.sg@HD "SG - Hub Premier 11"
HubPremier2.sg@HD "SG - Hub Premier 2"
HubPremier3.sg@HD "SG - Hub Premier 3"
HubPremier4.sg@HD "SG - Hub Premier 4"
HubPremier5.sg@HD "SG - Hub Premier 5"
HubPremier6.sg@HD "SG - Hub Premier 6"
HubPremier7.sg@HD "SG - Hub Premier 7"
HubPremier8.sg@HD "SG - Hub Premier 8"
HubPremier9.sg@HD "SG - Hub Premier 9"
HubSports1.sg@HD "SG - Hub Sports 1"
HubSports2.sg@HD "SG - Hub Sports 2"
HubSports3.sg@HD "SG - Hub Sports 3"
HubSports4.sg@HD "SG - Hub Sports 4"
HubSports5.sg@HD "SG - Hub Sports 5"
HubSports6.sg@HD "SG - Hub Sports 6"
HubSports7.sg@HD "SG - Hub Sports 7"
HubSports8.sg@HD "SG - Hub Sports 8"
SPOTV.sg@HD "SG - SPOTV"
SPOTV2.sg@HD "SG - SPOTV 2"
Suria@HD "Suria HD"
Vasantham@HD "Vasantham HD"
